"bg";"cn";"cz";"de";"default";"dk";"en";"es";"fi";"fr";"gr";"hr";"hu";"ir";"it";"jp";"nl";"no";"pl";"pt";"ro";"rs";"ru";"se";"sk";"sl";"tr"
"conversion_png_to_ktx2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2";"PNG > KTX2"
"delete";"Изтрий";"删除";"Odstranit";"Löschen";"Delete";"Slet";"Delete";"Eliminar";"Poista";"Supprimer";"Διαγραφή";"Izbriši";"Törlés";"Scrios";"Elimina";"削除";"Verwijderen";"Slett";"Usuń";"Apagar";"Ștergere";"Избриши";"Удалить";"Ta bort";"Odstrániť";"Izbriši";"Sil"
"edit";"Редактирай";"编辑";"Upravit";"Bearbeiten";"Edit";"Rediger";"Edit";"Editar";"Muokkaa";"Modifier";"Επεξεργασία";"Uredi";"Szerkesztés";"Cuir in eagar";"Modifica";"編集";"Bewerken";"Rediger";"Edytuj";"Editar";"Editare";"Уреди";"Редактировать";"Redigera";"Upraviť";"Uredi";"Düzenle"
"edit_hint";"Редактирай...";"编辑...";"Upravit...";"Bearbeiten...";"Edit...";"Rediger...";"Edit...";"Editar...";"Muokkaa...";"Modifier...";"Επεξεργασία...";"Uredi...";"Szerkesztés...";"Cuir in eagar...";"Modifica...";"編集...";"Bewerken...";"Rediger...";"Edytuj...";"Editar...";"Editare...";"Уреди...";"Редактировать...";"Redigera...";"Upraviť...";"Uredi...";"Düzenle..."
"error_global_configuration_invalid";"Трябва да бъде зададен поне типът на симулатора.";"至少需设置模拟器类型。";"Je nutné zadat alespoň typ simulátoru.";"Es muss mindestens der Sim Typ gesetzt sein.";"At least the sim type must be specified.";"Sim-typen skal som minimum være angivet.";"At least the sim type must be specified.";"Se debe especificar al menos el tipo de simulación.";"Ainakin sim-tyyppi on määritettävä.";"Le type de simulation doit au moins être défini.";"Πρέπει να έχει οριστεί τουλάχιστον ο τύπος προσομοιωτή.";"Najmanje tip sima mora biti postavljen.";"Legalább a szimulátor típusát meg kell adni.";"Ní mór an cineál sim ar a laghad a shocrú.";"È necessario impostare almeno il tipo di simulazione.";"少なくともシミュレータータイプを設定する必要があります。";"Er moet ten minste het simulatietype zijn ingesteld.";"Du må minst angi simuleringstypen.";"Należy ustawić przynajmniej typ symulatora.";"É necessário definir, pelo menos, o tipo de simulador.";"Trebuie setat cel puțin tipul de simulator.";"Мора бити подешен тип симулатора.";"Необходимо указать как минимум тип симулятора.";"Åtminstone simulatortypen måste anges.";"Musí byť nastavený aspoň typ simulátora.";"Nastaviti je treba vsaj tip simulacije.";"En azından sim türü ayarlanmalıdır."
"error_local_disk_full";"Твърдият диск е пълен.";"硬盘已满。";"Pevný disk je plný.";"Die Festplatte ist voll.";"The hard drive is full.";"Harddisken er fuld.";"The hard drive is full.";"El disco está lleno";"Kiintolevy on täynnä.";"Le disque est plein";"Ο σκληρός δίσκος είναι γεμάτος.";"Čvrsti disk je pun.";"A merevlemez megtelt.";"Tá an tiomáint chrua lán.";"Il disco è pieno";"ハードディスクの容量がいっぱいです。";"De harde schijf is vol.";"Harddisken er full.";"Dysk jest pełny.";"O disco rígido está cheio.";"Hard disk-ul este plin.";"Чврсти диск је пун.";"Жесткий диск заполнен.";"Hårddisken är full.";"Pevný disk je plný.";"Trdi disk je poln.";"Disk dolu"
"error_local_file_not_found";"Файлът не беше намерен.";"未找到文件。";"Soubor nebyl nalezen.";"Datei nicht gefunden.";"File not found.";"Filen blev ikke fundet.";"File not found.";"Archivo no encontrado";"Tiedostoa ei löydy.";"Fichier introuvable";"Δεν βρέθηκε το αρχείο.";"Datoteka nije pronađena.";"Fájl nem található.";"Comhad nár aimsíodh.";"File non trovato";"ファイルが見つかりません。";"Bestand niet gevonden.";"Fil ikke funnet.";"Nie znaleziono pliku.";"Ficheiro não encontrado.";"Fișierul nu a fost găsit.";"Датотека није пронађена.";"Файл не найден.";"Filen hittades inte.";"Súbor nebol nájdený.";"Datoteke ni bilo mogoče najti.";"Dosya bulunamadı"
"error_local_serialization";"Резултатът не може да бъде анализиран.";"无法分析结果。";"Výsledek nebylo možné analyzovat.";"Ergebnis konnte nicht analysiert werden.";"Result could not be analyzed.";"Resultatet kunne ikke analyseres.";"Result could not be analyzed.";"No se pudo analizar el resultado";"Tulosta ei voitu analysoida.";"Impossible d'analyser le résultat";"Δεν ήταν δυνατή η ανάλυση του αποτελέσματος.";"Rezultat nije mogao biti analiziran.";"Az eredményt nem lehetett elemezni.";"Níorbh fhéidir an toradh a anailísiú.";"Impossibile analizzare il risultato";"結果を解析できませんでした。";"Resultaat kon niet worden geanalyseerd.";"Resultatet kunne ikke analyseres.";"Nie można było przeanalizować wyniku.";"Não foi possível analisar o resultado.";"Rezultatul nu a putut fi analizat.";"Резултат није могао да се анализира.";"Результат не удалось проанализировать.";"Resultatet kunde inte analyseras.";"Výsledok sa nepodarilo analyzovať.";"Rezultat ni bilo mogoče analizirati.";"Sonuç çözümlenemedi"
"error_local_unknown";"Възникна неизвестна грешка при локална операция.";"本地操作中发生未知错误。";"Při lokální operaci došlo k neznámé chybě.";"Bei einem lokalen Vorgang ist ein unbekannter Fehler aufgetreten.";"An unknown error occurred during a local operation.";"Der opstod en ukendt fejl under en lokal operation.";"An unknown error occurred during a local operation.";"Se ha producido un error desconocido en una operación local";"Paikallisessa prosessissa on tapahtunut tuntematon virhe.";"Une erreur inconnue s'est produite lors d'une opération locale";"Παρουσιάστηκε άγνωστο σφάλμα κατά τη διάρκεια μιας τοπικής διαδικασίας.";"Došlo je do nepoznate pogreške tijekom lokalne operacije.";"Helyi művelet közben ismeretlen hiba történt.";"Tharla earráid anaithnid le linn oibríocht áitiúil.";"Si è verificato un errore sconosciuto durante un'operazione locale";"ローカル操作中に未知のエラーが発生しました。";"Er is een onbekende fout opgetreden tijdens een lokale bewerking.";"Det oppstod en ukjent feil under en lokal prosess.";"Wystąpił nieznany błąd podczas operacji lokalnej.";"Ocorreu um erro desconhecido durante uma operação local.";"A apărut o eroare necunoscută în timpul unei operațiuni locale.";"Дошло је до непознате грешке током локалне операције.";"При локальной операции произошла неизвестная ошибка.";"Ett okänt fel har uppstått vid en lokal operation.";"Pri lokálnej operácii došlo k neznámej chybe.";"Pri lokalnem postopku je prišlo do neznane napake.";"Yerel işlemde bilinmeyen bir hata oluştu"
"error_no_configuration";"Не е зададена конфигурация.";"未指定配置。";"Není zadána žádná konfigurace.";"Keine Konfiguration angegeben.";"No configuration specified.";"Ingen konfiguration angivet.";"No configuration specified.";"No se ha proporcionado ninguna configuración";"Määrityksiä ei ole annettu.";"Aucune configuration fournie";"Δεν έχει καθοριστεί καμία διαμόρφωση.";"Nije navedena konfiguracija.";"Nincs megadva konfiguráció.";"Níl aon chumraíocht sonraithe.";"Nessuna configurazione specificata";"設定が指定されていません。";"Geen configuratie opgegeven.";"Ingen konfigurasjon angitt.";"Nie podano konfiguracji.";"Não foi especificada nenhuma configuração.";"Nu a fost specificată nicio configurație.";"Није наведена конфигурација.";"Конфигурация не указана.";"Ingen konfiguration angiven.";"Nebola zadaná žiadna konfigurácia.";"Konfiguracija ni bila navedena.";"Yapılandırma belirtilmedi"
"error_project_configuration_invalid";"Трябва да бъдат зададени поне името на самолета и името на боята.";"至少必须设置飞机名称和涂装名称。";"Musí být nastaven alespoň název letadla a název lakování.";"Es muss mindestens der Flugzeugname und der Lackierungsname gesetzt sein.";"At least the aircraft name and the livery name must be set.";"Der skal mindst angives flynavn og lakering.";"At least the aircraft name and the livery name must be set.";"Al menos se debe establecer el nombre del avión y el nombre del livey.";"Ainakin lentokoneen nimi ja maalausnimi on määritettävä.";"Au moins le nom de l'avion et le nom de la livrée doivent être définis.";"Πρέπει να έχει οριστεί τουλάχιστον το όνομα του αεροσκάφους και το όνομα της βαφής.";"Moraju biti postavljeni naziv zrakoplova i naziv liveryja.";"Legalább a repülőgép nevét és a festés nevét meg kell adni.";"Ní mór ainm an aerárthaigh agus ainm an chulaithigh a shocrú ar a laghad.";"È necessario impostare almeno il nome dell'aereo e il nome del livey.";"少なくとも機体名と塗装名は設定する必要があります。";"Er moet ten minste de vliegtuignaam en de naam van de kleurstelling zijn ingesteld.";"Minst flynavnet og lakknavnet må være angitt.";"Należy ustawić co najmniej nazwę samolotu i nazwę malowania.";"É necessário definir, no mínimo, o nome da aeronave e o nome da pintura.";"Trebuie setate cel puțin numele avionului și numele vopselei.";"Морају бити подешени најмање назив авиона и назив ливерија.";"Необходимо указать как минимум название самолета и название окраски.";"Åtminstone flygplansnamnet och lackeringsnamnet måste anges.";"Musí byť nastavený aspoň názov lietadla a názov lakovania.";"Nastavljen mora biti vsaj ime letala in ime barve.";"En azından uçak adı ve canlı adı ayarlanmalıdır."
"error_remote_no_internet";"Интернет връзката е прекъсната.";"互联网连接中断。";"Přerušení internetového připojení.";"Internetverbindung unterbrochen.";"Internet connection interrupted.";"Internetforbindelsen blev afbrudt.";"Internet connection interrupted.";"Se ha perdido la conexión a Internet";"Internet-yhteys katkennut.";"Connexion Internet perdue";"Διακοπή σύνδεσης στο Διαδίκτυο.";"Prekinuta je internetska veza.";"Megszakadt az internetkapcsolat.";"Cuireadh isteach ar an nasc idirlín.";"Connessione Internet persa";"インターネット接続が切断されました。";"Internetverbinding verbroken.";"Internettforbindelsen ble brutt.";"Przerwane połączenie internetowe.";"Ligação à Internet interrompida.";"Conexiunea la internet a fost întreruptă.";"Прекинута је интернет веза.";"Интернет-соединение прервано.";"Internetanslutningen har avbrutits.";"Prerušené internetové pripojenie.";"Prekinjena internetna povezava.";"İnternet bağlantısı kesildi"
"error_remote_request_timeout";"Заявката е изтекла.";"请求已过期。";"Požadavek vypršel.";"Die Anfrage ist abgelaufen.";"The request has timed out.";"Forespørgslen er udløbet.";"The request has timed out.";"La solicitud ha expirado";"Pyyntö on vanhentunut.";"Délai d'attente de la requête expiré";"Η αίτηση έχει λήξει.";"Zahtjev je istekao.";"A kérés lejárt.";"Tá an t-iarratas imithe in éag.";"Timeout della richiesta";"リクエストがタイムアウトしました。";"Het verzoek is verlopen.";"Forespørselen har utløpt.";"Żądanie wygasło.";"O pedido expirou.";"Solicitarea a expirat.";"Захтев је истекао.";"Запрос истек.";"Förfrågan har gått ut.";"Žiadosť vypršala.";"Zahteva je potekla.";"İstek zaman aşımına uğradı"
"error_remote_serialization";"Резултатът не може да бъде анализиран.";"无法分析结果。";"Výsledek nebylo možné analyzovat.";"Ergebnis konnte nicht analysiert werden.";"Result could not be analyzed.";"Resultatet kunne ikke analyseres.";"Result could not be analyzed.";"No se pudo analizar el resultado";"Tulosta ei voitu analysoida.";"Impossible d'analyser le résultat";"Δεν ήταν δυνατή η ανάλυση του αποτελέσματος.";"Rezultat nije mogao biti analiziran.";"Az eredményt nem lehetett elemezni.";"Níorbh fhéidir an toradh a anailísiú.";"Impossibile analizzare il risultato";"結果を解析できませんでした。";"Resultaat kon niet worden geanalyseerd.";"Resultatet kunne ikke analyseres.";"Nie można było przeanalizować wyniku.";"Não foi possível analisar o resultado.";"Rezultatul nu a putut fi analizat.";"Резултат није могао да се анализира.";"Результат не удалось проанализировать.";"Resultatet kunde inte analyseras.";"Výsledok sa nepodarilo analyzovať.";"Rezultat ni bilo mogoče analizirati.";"Sonuç çözümlenemedi"
"error_remote_unknown";"Възникна неизвестна грешка при отдалечена операция.";"远程操作中发生未知错误。";"Při vzdálené operaci došlo k neznámé chybě.";"Bei einem Remote-Vorgang ist ein unbekannter Fehler aufgetreten.";"An unknown error occurred during a remote operation.";"Der opstod en ukendt fejl under en fjernoperation.";"An unknown error occurred during a remote operation.";"Se ha producido un error desconocido en una operación remota";"Etäprosessissa on tapahtunut tuntematon virhe.";"Une erreur inconnue s'est produite lors d'une opération à distance";"Παρουσιάστηκε άγνωστο σφάλμα κατά τη διάρκεια μιας απομακρυσμένης διαδικασίας.";"Došlo je do nepoznate pogreške tijekom udaljene operacije.";"Távoli művelet közben ismeretlen hiba történt.";"Tharla earráid anaithnid le linn oibríocht chian.";"Si è verificato un errore sconosciuto in un'operazione remota";"リモート操作中に未知のエラーが発生しました。";"Er is een onbekende fout opgetreden tijdens een bewerking op afstand.";"Det oppstod en ukjent feil under en ekstern prosess.";"Wystąpił nieznany błąd podczas operacji zdalnej.";"Ocorreu um erro desconhecido durante uma operação remota.";"A apărut o eroare necunoscută în timpul unei operațiuni la distanță.";"Дошло је до непознате грешке током удаљене операције.";"Произошла неизвестная ошибка при удаленной операции.";"Ett okänt fel har uppstått vid en fjärroperation.";"Pri vzdialenej operácii došlo k neznámej chybe.";"Pri oddaljenem postopku je prišlo do neznane napake.";"Uzak işlemde bilinmeyen bir hata oluştu"
"error_unknown_field";"Полето в конфигурацията е неизвестно.";"配置中未识别该字段。";"Pole v konfiguraci není známo.";"Feld in der Konfiguration unbekannt.";"Field unknown in configuration.";"Felt i konfigurationen ukendt.";"Field unknown in configuration.";"Campo desconocido en la configuración";"Kenttä konfiguraatiossa tuntematon.";"Champ inconnu dans la configuration";"Άγνωστο πεδίο στη διαμόρφωση.";"Polje nepoznato u konfiguraciji.";"A mező a konfigurációban ismeretlen.";"Réimse anaithnid sa chumraíocht.";"Campo sconosciuto nella configurazione";"設定内のフィールドが不明です。";"Veld in de configuratie onbekend.";"Feltet er ukjent i konfigurasjonen.";"Nieznane pole w konfiguracji.";"Campo desconhecido na configuração.";"Câmp necunoscut în configurație.";"Поље непознато у конфигурацији.";"Поле в конфигурации неизвестно.";"Okänt fält i konfigurationen.";"Pole v konfigurácii je neznáme.";"Polje v konfiguraciji ni znano.";"Yapılandırmada bilinmeyen alan"
"false";"Неправилно.";"错误。";"Chybné.";"Falsch.";"Invalid.";"Forkert.";"Invalid.";"Falso";"Väärä.";"Faux";"Λάθος.";"Netočno.";"Helytelen.";"Mícheart.";"Falso";"不正です。";"Onjuist.";"Feil.";"Błędne.";"Incorreto.";"Greșit.";"Нетачно.";"Неверно.";"Fel.";"Nesprávne.";"Napačno.";"Yanlış"
"field_unset";"Полето не е зададено.";"字段未定义。";"Pole není zadáno.";"Feld ist nicht festgelegt.";"Field is not defined.";"Feltet er ikke angivet.";"Field is not defined.";"El campo no está establecido.";"Kenttää ei ole määritetty.";"Le champ n'est pas défini.";"Το πεδίο δεν έχει οριστεί.";"Polje nije definirano.";"A mező nincs megadva.";"Níl an réimse sainithe.";"Il campo non è impostato.";"フィールドが未設定です。";"Veld is niet ingesteld.";"Feltet er ikke angitt.";"Pole nie jest zdefiniowane.";"Campo não definido.";"Câmpul nu este definit.";"Поље није дефинисано.";"Поле не задано.";"Fältet är inte angivet.";"Pole nie je nastavené.";"Polje ni določeno.";"Alan ayarlanmadı."
"import_imagetool";"Импортиране на настройки от инструмента за изображения";"从图像工具导入设置";"Importovat nastavení z nástroje pro obrázky";"Einstellungen aus Bild-Tool importieren";"Import settings from image tool";"Importer indstillinger fra billedværktøj";"Import settings from image tool";"Importar ajustes desde la herramienta de imagen";"Tuo asetukset kuvatyökalusta";"Importer les paramètres depuis l'outil d'image";"Εισαγωγή ρυθμίσεων από το εργαλείο εικόνων";"Uvoz postavki iz alata za slike";"Beállítások importálása a képeszközből";"Iompórtáil socruithe ón uirlis íomhá";"Importa impostazioni dallo strumento immagine";"画像ツールから設定をインポート";"Instellingen importeren uit afbeeldingstool";"Importer innstillinger fra bildeverktøyet";"Importuj ustawienia z narzędzia obrazowego";"Importar definições da ferramenta de imagem";"Importați setările din Instrumentul de imagine";"Увоз подешавања из алата за слике";"Импортировать настройки из инструмента «Изображение»";"Importera inställningar från bildverktyget";"Importovať nastavenia z nástroja na obrázky";"Uvozi nastavitve iz orodja za slike";"Görüntü Aracından Ayarları İçe Aktar"
"info_text";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Фу бар баз";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz";"Foo bar baz"
"label_airplaneName";"Име на самолета";"飞机名称";"Název letadla";"Flugzeugname";"Aircraft name";"Flynavn";"Aircraft name";"Nombre del avión";"Lentokoneen nimi";"Nom de l'avion";"Όνομα αεροσκάφους";"Ime zrakoplova";"Repülőgép neve";"Ainm an aerárthaigh";"Nome dell'aereo";"機体名";"Vliegtuignaam";"Flynavn";"Nazwa samolotu";"Nome da aeronave";"Numele aeronavei";"Име ваздухоплова";"Название самолета";"Flygplansnamn";"Názov lietadla";"Ime letala";"Uçak adı"
"label_airplanes";"Самолети";"飞机";"Letadla";"Flugzeuge";"Aircrafts";"Fly";"Aircrafts";"Aviones";"Lentokoneet";"Avions";"Αεροσκάφη";"Zrakoplov";"Repülőgépek";"Aerárthach";"Aerei";"機体";"Vliegtuigen";"Fly";"Samoloty";"Aeronaves";"Aeronave";"Ваздухоплов";"Самолеты";"Flygplan";"Lietadlá";"Letala";"Uçaklar"
"label_configuration";"Конфигурация";"配置";"Konfigurace";"Konfiguration";"Configuration";"Konfiguration";"Configuration";"Configuración";"Konfiguraatio";"Configuration";"Διαμόρφωση";"Konfiguracija";"Konfiguráció";"Cumraíocht";"Configurazione";"設定";"Configuratie";"Konfigurasjon";"Konfiguracja";"Configuração";"Configurație";"Конфигурација";"Конфигурация";"Konfiguration";"Konfigurácia";"Konfiguracija";"Yapılandırma"
"label_dryrun";"Сух ход";"空转";"Suchý běh";"Trockenlauf";"Dry run";"Tørkørsel";"Dry run";"Simulación";"Kuivakäynti";"Simulation";"Δοκιμαστική εκτέλεση";"Suho pokretanje";"Száraz futás";"Rith thirim";"Prova generale";"ドライラン";"Droogloop";"Tørrkjøring";"Próba na sucho";"Simulação a seco";"Rulare în gol";"Проба";"Сухой запуск";"Torrkörning";"Suchý beh";"Suho delovanje";"Deneme Çalıştırması"
"label_flagHQAlbd";"Flag HQ Albedo";"Flag HQ Albedo";"Příznak HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Marcar albedo HQ";"Flag HQ Albedo";"Activer l'albédo HQ";"Σημαία HQ Albedo";"Zastava HQ Albedo";"Flag HQ Albedo";"Bratach HQ Albedo";"Contrassegna albedo HQ";"Flag HQ Albedo";"Vlag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Sinalizador HQ Albedo";"Flag HQ Albedo";"Застава HQ Албедо";"Флаг HQ Albedo";"Flagga HQ Albedo";"Flag HQ Albedo";"Zastavica HQ Albedo";"HQ albedo bayrağı"
"label_flagHQDecal";"Flag HQ Decal";"Flag HQ Decal";"Příznak HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Marcar calcomanía HQ";"Flag HQ Decal";"Activer le décalque HQ";"Σημαία HQ Decal";"Zastava HQ Naljepnica";"Flag HQ Decal";"Bratach HQ Dearthán";"Contrassegna decalcomania HQ";"Flag HQ Decal";"Vlag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Sinalizador HQ Decal";"Flag HQ Decal";"Застава HQ Декал";"Флаг HQ Decal";"Flagga HQ Decal";"Flag HQ Decal";"Zastavica HQ Decal";"HQ çıkartma bayrağı"
"label_flagNoAlphaAlbd";"Flag force no alpha albedo";"Flag force no alpha albedo";"Příznak force no alpha albedo";"Flag force no alpha albedo";"Flag force no alpha albedo";"Flag force no alpha albedo";"Flag force no alpha albedo";"Marcar albedo sin alfa";"Flag force no alpha albedo";"Activer l'albédo sans alpha";"Σημαία force no alpha albedo";"Zastava force no alpha albedo";"Flag force no alpha albedo";"Bratach fórsa gan alfa albedo";"Contrassegna forza albedo senza alfa";"Flag force no alpha albedo";"Vlag force no alpha albedo";"Flag force no alpha albedo";"Flag force no alpha albedo";"Sinalizador force no alpha albedo";"Flag force no alpha albedo";"Застава force no alpha albedo";"Флаг force no alpha albedo";"Flagga force no alpha albedo";"Flag force no alpha albedo";"Zastavica force no alpha albedo";"Alfa albedo yok bayrağı"
"label_flagNoAlphaDecal";"Flag force no alpha decal";"Flag force no alpha decal";"Příznak force no alpha decal";"Flag force no alpha decal";"Flag force no alpha decal";"Flag force no alpha decal";"Flag force no alpha decal";"Marcar calcomanía sin alfa";"Flag force no alpha decal";"Forcer le drapeau sans décalque alpha";"Σημαία force no alpha decal";"Zastava force no alpha naljepnica";"Flag force no alpha decal";"Bratach fórsa gan alfa dearthán";"Contrassegna forza decalcomania senza alfa";"Flag force no alpha decal";"Vlag force no alpha decal";"Flag force no alpha decal";"Flag force no alpha decal";"Sinalizador force no alpha decal";"Flag force no alpha decal";"Застава force no alpha decal";"Флаг force no alpha decal";"Flagga force no alpha decal";"Flag force no alpha decal";"Zastavica force no alpha decal";"Alfa çıkartma yok bayrağı"
"label_imageToMSFSKTX2Path";"ImageToMSFSKTX2-директория";"ImageToMSFSKTX2目录";"Adresář ImageToMSFSKTX2";"ImageToMSFSKTX2-Verzeichnis";"ImageToMSFSKTX2 directory";"ImageToMSFSKTX2-mappe";"ImageToMSFSKTX2 directory";"Directorio ImageToMSFSKTX2";"ImageToMSFSKTX2-hakemisto";"Répertoire ImageToMSFSKTX2";"Κατάλογος ImageToMSFSKTX2";"Directory ImageToMSFSKTX2";"ImageToMSFSKTX2 könyvtár";"Eolaire ImageToMSFSKTX2";"Directory ImageToMSFSKTX2";"ImageToMSFSKTX2ディレクトリ";"ImageToMSFSKTX2-map";"ImageToMSFSKTX2-katalog";"Katalog ImageToMSFSKTX2";"Diretório ImageToMSFSKTX2";"Director ImageToMSFSKTX2";"Директоријум ImageToMSFSKTX2";"Каталог ImageToMSFSKTX2";"ImageToMSFSKTX2-katalog";"Adresár ImageToMSFSKTX2";"Imenik ImageToMSFSKTX2";"ImageToMSFSKTX2 dizini"
"label_language";"Език";"语言";"Jazyk";"Sprache";"Language";"Sprog";"Language";"Idioma";"Kieli";"Langue";"Γλώσσα";"Jezik";"Nyelv";"Teanga";"Lingua";"言語";"Taal";"Språk";"Język";"Idioma";"Limba";"Језик";"Язык";"Språk";"Jazyk";"Jezik";"Dil"
